Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Quantidade compra;Valor de Compra;Unidade de Medida;Bandeira;Nota atendimento
SE;MG;CONTAGEM;POSTO LOURA EMPREENDIMENTOS LTDA; 42.814.020/0001-46;AVENIDA JOAO SOARES;1024;;PARQUE XANGRI LA;32186-000;DIESEL S10;01/05/2022;5,24;950;5,67;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO BALNEARIO LTDA; 21.874.680/0001-42;AVENIDA ABILIO MACHADO;4519;;VILA PEROLA;32110-010;GASOLINA;01/05/2022;6,74;950;3,99;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO BALNEARIO LTDA; 21.874.680/0001-42;AVENIDA ABILIO MACHADO;4519;;VILA PEROLA;32110-010;ETANOL;01/05/2022;5,19;950;6,55;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO BALNEARIO LTDA; 21.874.680/0001-42;AVENIDA ABILIO MACHADO;4519;;VILA PEROLA;32110-010;GASOLINA ADITIVADA;01/05/2022;6,87;950;5,29;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO BALNEARIO LTDA; 21.874.680/0001-42;AVENIDA ABILIO MACHADO;4519;;VILA PEROLA;32110-010;DIESEL S10;01/05/2022;5,27;950;6,59;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO SUPREMO LTDA; 02.738.100/0001-45;AVENIDA PRINCESA IZABEL;320;;PARQUE RECREIO;32110-000;GASOLINA;01/05/2022;6,74;950;4,09;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO SUPREMO LTDA; 02.738.100/0001-45;AVENIDA PRINCESA IZABEL;320;;PARQUE RECREIO;32110-000;ETANOL;01/05/2022;5,19;950;6,51;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO SUPREMO LTDA; 02.738.100/0001-45;AVENIDA PRINCESA IZABEL;320;;PARQUE RECREIO;32110-000;DIESEL;01/05/2022;5,29;950;5,25;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO SUPREMO LTDA; 02.738.100/0001-45;AVENIDA PRINCESA IZABEL;320;;PARQUE RECREIO;32110-000;GASOLINA ADITIVADA;01/05/2022;6,87;950;6,51;R$ / litro;IPIRANGA;3
SE;MG;CONTAGEM;POSTO SUPREMO LTDA; 02.738.100/0001-45;AVENIDA PRINCESA IZABEL;320;;PARQUE RECREIO;32110-000;DIESEL S10;01/05/2022;5,37;950;6,65;R$ / litro;IPIRANGA;3
SE;MG;DIVINOPOLIS;POSTO ABRIL DIVINOPOLIS LTDA.; 05.731.164/0001-02;RODOVIA MG-050;S/N;": L-B-350-PROX. KM.85;";JARDIM DAS MANSOES;35500-423;GASOLINA;01/05/2022;6,99;950;5,65;R$ / litro;VIBRA ENERGIA;3
SE;MG;DIVINOPOLIS;POSTO ABRIL DIVINOPOLIS LTDA.; 05.731.164/0001-02;RODOVIA MG-050;S/N;": L-B-350-PROX. KM.85;";JARDIM DAS MANSOES;35500-423;ETANOL;01/05/2022;5,29;950;6,75;R$ / litro;VIBRA ENERGIA;3
SE;MG;DIVINOPOLIS;POSTO ABRIL DIVINOPOLIS LTDA.; 05.731.164/0001-02;RODOVIA MG-050;S/N;": L-B-350-PROX. KM.85;";JARDIM DAS MANSOES;35500-423;DIESEL;01/05/2022;5,29;950;5,79;R$ / litro;VIBRA ENERGIA;3
SE;MG;DIVINOPOLIS;POSTO ABRIL DIVINOPOLIS LTDA.; 05.731.164/0001-02;RODOVIA MG-050;S/N;": L-B-350-PROX. KM.85;";JARDIM DAS MANSOES;35500-423;DIESEL S10;01/05/2022;5,35;950;3,99;R$ / litro;VIBRA ENERGIA;3
SE;MG;DIVINOPOLIS;POSTO NICODEMOS LTDA; 03.609.878/0001-17;AVENIDA ROSANA NORONHA GUARANY;181;;ICARAI;35502-225;GASOLINA;01/05/2022;6,89;950;6,99;R$ / litro;BRANCA;3
SE;MG;DIVINOPOLIS;POSTO NICODEMOS LTDA; 03.609.878/0001-17;AVENIDA ROSANA NORONHA GUARANY;181;;ICARAI;35502-225;ETANOL;01/05/2022;5,15;950;5,67;R$ / litro;BRANCA;3
SE;MG;DIVINOPOLIS;POSTO NICODEMOS LTDA; 03.609.878/0001-17;AVENIDA ROSANA NORONHA GUARANY;181;;ICARAI;35502-225;DIESEL;01/05/2022;5,35;950;5,69;R$ / litro;BRANCA;3
SE;MG;DIVINOPOLIS;POSTO NICODEMOS LTDA; 03.609.878/0001-17;AVENIDA ROSANA NORONHA GUARANY;181;;ICARAI;35502-225;GASOLINA ADITIVADA;01/05/2022;6,89;950;7,29;R$ / litro;BRANCA;3
SE;MG;DIVINOPOLIS;POSTO NICODEMOS LTDA; 03.609.878/0001-17;AVENIDA ROSANA NORONHA GUARANY;181;;ICARAI;35502-225;DIESEL S10;01/05/2022;5,4;950;5,77;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;COMBUSTIVEIS BAU LTDA; 08.331.494/0001-07;AVENIDA GETULIO VARGAS;1924;;BAU;35930-312;GASOLINA;01/05/2022;6,93;950;6,51;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;COMBUSTIVEIS BAU LTDA; 08.331.494/0001-07;AVENIDA GETULIO VARGAS;1924;;BAU;35930-312;ETANOL;01/05/2022;5,19;950;5,25;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;COMBUSTIVEIS BAU LTDA; 08.331.494/0001-07;AVENIDA GETULIO VARGAS;1924;;BAU;35930-312;DIESEL;01/05/2022;5,08;950;6,51;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;COMBUSTIVEIS BAU LTDA; 08.331.494/0001-07;AVENIDA GETULIO VARGAS;1924;;BAU;35930-312;DIESEL S10;01/05/2022;5,19;950;6,98;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;POSTO LONGANA LTDA; 00.067.750/0001-80;AVENIDA WILSON ALVARENGA;4;;BELMONTE;35930-292;GASOLINA;01/05/2022;7,04;950;6,08;R$ / litro;VIBRA ENERGIA;3
SE;MG;JOAO MONLEVADE;POSTO LONGANA LTDA; 00.067.750/0001-80;AVENIDA WILSON ALVARENGA;4;;BELMONTE;35930-292;ETANOL;01/05/2022;5,34;950;7,08;R$ / litro;VIBRA ENERGIA;3
SE;MG;JOAO MONLEVADE;POSTO LONGANA LTDA; 00.067.750/0001-80;AVENIDA WILSON ALVARENGA;4;;BELMONTE;35930-292;DIESEL;01/05/2022;5,37;950;6,13;R$ / litro;VIBRA ENERGIA;3
SE;MG;JOAO MONLEVADE;POSTO LONGANA LTDA; 00.067.750/0001-80;AVENIDA WILSON ALVARENGA;4;;BELMONTE;35930-292;GASOLINA ADITIVADA;01/05/2022;7,04;950;6,87;R$ / litro;VIBRA ENERGIA;3
SE;MG;JOAO MONLEVADE;POSTO LONGANA LTDA; 00.067.750/0001-80;AVENIDA WILSON ALVARENGA;4;;BELMONTE;35930-292;DIESEL S10;01/05/2022;5,44;950;5,99;R$ / litro;VIBRA ENERGIA;3
SE;MG;JOAO MONLEVADE;TNE COMBUSTIVEIS JOAO MONLEVADE LTDA; 04.326.925/0001-88;AVENIDA GETULIO VARGAS;7115;;SANTA BARBARA;35930-150;GASOLINA;01/05/2022;6,99;950;6,87;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;TNE COMBUSTIVEIS JOAO MONLEVADE LTDA; 04.326.925/0001-88;AVENIDA GETULIO VARGAS;7115;;SANTA BARBARA;35930-150;ETANOL;01/05/2022;5,24;950;5,99;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;TNE COMBUSTIVEIS JOAO MONLEVADE LTDA; 04.326.925/0001-88;AVENIDA GETULIO VARGAS;7115;;SANTA BARBARA;35930-150;GASOLINA ADITIVADA;01/05/2022;7,03;950;6,97;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;POSTO ART LTDA; 38.506.820/0001-22;AVENIDA WILSON ALVARENGA;746;;BAIRRO CARNEIRINHOS;35930-292;GASOLINA;01/05/2022;6,99;950;6,1;R$ / litro;VIBRA ENERGIA;3
SE;MG;JOAO MONLEVADE;POSTO ART LTDA; 38.506.820/0001-22;AVENIDA WILSON ALVARENGA;746;;BAIRRO CARNEIRINHOS;35930-292;ETANOL;01/05/2022;5,29;950;6,07;R$ / litro;VIBRA ENERGIA;3
SE;MG;JOAO MONLEVADE;POSTO ART LTDA; 38.506.820/0001-22;AVENIDA WILSON ALVARENGA;746;;BAIRRO CARNEIRINHOS;35930-292;DIESEL S10;01/05/2022;5,58;950;4,95;R$ / litro;VIBRA ENERGIA;3
SE;MG;JOAO MONLEVADE;TNE COMBUSTIVEIS CASTELINHO LTDA; 24.235.038/0001-01;AVENIDA GETULIO VARGAS;3508;;BELMONTE;35930-293;GASOLINA;01/05/2022;6,99;950;4,60;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;TNE COMBUSTIVEIS CASTELINHO LTDA; 24.235.038/0001-01;AVENIDA GETULIO VARGAS;3508;;BELMONTE;35930-293;ETANOL;01/05/2022;5,24;950;3,40;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;TNE COMBUSTIVEIS CASTELINHO LTDA; 24.235.038/0001-01;AVENIDA GETULIO VARGAS;3508;;BELMONTE;35930-293;DIESEL;01/05/2022;5,18;950;5,10;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;TNE COMBUSTIVEIS CASTELINHO LTDA; 24.235.038/0001-01;AVENIDA GETULIO VARGAS;3508;;BELMONTE;35930-293;GASOLINA ADITIVADA;01/05/2022;7,03;950;4,60;R$ / litro;BRANCA;3
SE;MG;JOAO MONLEVADE;TNE COMBUSTIVEIS CASTELINHO LTDA; 24.235.038/0001-01;AVENIDA GETULIO VARGAS;3508;;BELMONTE;35930-293;DIESEL S10;01/05/2022;5,23;950;3,40;R$ / litro;BRANCA;3
SE;MG;JUIZ DE FORA;POSTO CHAMINE LTDA; 02.298.613/0001-82;RUA BERNADO MASCARENHAS;1400;;FABRICA;36080-001;GASOLINA;01/05/2022;7,25;950;5,10;R$ / litro;RAIZEN;8
SE;MG;JUIZ DE FORA;POSTO CHAMINE LTDA; 02.298.613/0001-82;RUA BERNADO MASCARENHAS;1400;;FABRICA;36080-001;ETANOL;01/05/2022;5,57;950;4,80;R$ / litro;RAIZEN;8
SE;MG;JUIZ DE FORA;POSTO CHAMINE LTDA; 02.298.613/0001-82;RUA BERNADO MASCARENHAS;1400;;FABRICA;36080-001;DIESEL;01/05/2022;5,45;950;4,95;R$ / litro;RAIZEN;8
SE;MG;JUIZ DE FORA;POSTO CHAMINE LTDA; 02.298.613/0001-82;RUA BERNADO MASCARENHAS;1400;;FABRICA;36080-001;GASOLINA ADITIVADA;01/05/2022;7,45;3000;4,60;R$ / litro;RAIZEN;8
SE;MG;JUIZ DE FORA;POSTO CHAMINE LTDA; 02.298.613/0001-82;RUA BERNADO MASCARENHAS;1400;;FABRICA;36080-001;DIESEL S10;01/05/2022;5,49;3000;3,40;R$ / litro;RAIZEN;3
SE;MG;MONTES CLAROS;PRODUCAO COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.246.589/0001-63;AVENIDA GOV MAGALHAES PINTO;5657;A SALA 01;JARAGUA;39401-708;GASOLINA;01/05/2022;6,99;3000;5,10;R$ / litro;VIBRA ENERGIA;3
SE;MG;MONTES CLAROS;PRODUCAO COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.246.589/0001-63;AVENIDA GOV MAGALHAES PINTO;5657;A SALA 01;JARAGUA;39401-708;ETANOL;01/05/2022;4,99;3000;6,98;R$ / litro;VIBRA ENERGIA;3
SE;MG;MONTES CLAROS;PRODUCAO COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.246.589/0001-63;AVENIDA GOV MAGALHAES PINTO;5657;A SALA 01;JARAGUA;39401-708;DIESEL;01/05/2022;5,39;3000;6,51;R$ / litro;VIBRA ENERGIA;3
SE;MG;MONTES CLAROS;PRODUCAO COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.246.589/0001-63;AVENIDA GOV MAGALHAES PINTO;5657;A SALA 01;JARAGUA;39401-708;GASOLINA ADITIVADA;01/05/2022;7,09;3000;5,43;R$ / litro;VIBRA ENERGIA;3
SE;MG;MONTES CLAROS;PRODUCAO COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.246.589/0001-63;AVENIDA GOV MAGALHAES PINTO;5657;A SALA 01;JARAGUA;39401-708;DIESEL S10;01/05/2022;5,59;3000;6,54;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;POSTO PARA LTDA; 02.681.911/0001-57;RUA PADRE LIBERIO;1000;;JK;35660-180;GASOLINA;01/05/2022;6,85;3000;5,29;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;POSTO PARA LTDA; 02.681.911/0001-57;RUA PADRE LIBERIO;1000;;JK;35660-180;ETANOL;01/05/2022;5,19;3000;5,49;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;POSTO PARA LTDA; 02.681.911/0001-57;RUA PADRE LIBERIO;1000;;JK;35660-180;DIESEL;01/05/2022;5,17;3000;6,89;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;POSTO PARA LTDA; 02.681.911/0001-57;RUA PADRE LIBERIO;1000;;JK;35660-180;GASOLINA ADITIVADA;01/05/2022;6,99;3000;5,29;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;POSTO PARA LTDA; 02.681.911/0001-57;RUA PADRE LIBERIO;1000;;JK;35660-180;DIESEL S10;01/05/2022;5,22;3000;7,19;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;GASOLINA;01/05/2022;6,84;3000;5,67;R$ / litro;IPIRANGA;3
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;ETANOL;01/05/2022;5,29;3000;3,99;R$ / litro;IPIRANGA;3
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;DIESEL;01/05/2022;5,45;3000;6,55;R$ / litro;IPIRANGA;3
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;GASOLINA ADITIVADA;01/05/2022;6,94;3000;5,29;R$ / litro;IPIRANGA;3
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;DIESEL S10;01/05/2022;5,49;3000;6,59;R$ / litro;IPIRANGA;3
SE;MG;PARA DE MINAS;POSTO MINAS GERAIS PARA LTDA; 01.569.818/0001-92;AVENIDA OVIDIO DE ABREU;16;;VILA LARA;35660-970;GASOLINA;01/05/2022;7,35;3000;4,09;R$ / litro;BRANCA;3
SE;MG;PARA DE MINAS;POSTO MINAS GERAIS PARA LTDA; 01.569.818/0001-92;AVENIDA OVIDIO DE ABREU;16;;VILA LARA;35660-970;GASOLINA ADITIVADA;01/05/2022;7,49;3000;6,51;R$ / litro;BRANCA;3
SE;MG;PARA DE MINAS;COMÉRCIO RODRIGUES E FARIA LTDA; 86.539.590/0001-40;RUA PEQUI;700; ;SANTOS DUMONT;35660-308;GASOLINA;01/05/2022;7,04;3000;5,25;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;COMÉRCIO RODRIGUES E FARIA LTDA; 86.539.590/0001-40;RUA PEQUI;700; ;SANTOS DUMONT;35660-308;ETANOL;01/05/2022;5,2;3000;6,51;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;COMÉRCIO RODRIGUES E FARIA LTDA; 86.539.590/0001-40;RUA PEQUI;700; ;SANTOS DUMONT;35660-308;DIESEL;01/05/2022;5,32;3000;6,65;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;COMÉRCIO RODRIGUES E FARIA LTDA; 86.539.590/0001-40;RUA PEQUI;700; ;SANTOS DUMONT;35660-308;GASOLINA ADITIVADA;01/05/2022;7,13;3000;5,65;R$ / litro;VIBRA ENERGIA;3
SE;MG;PARA DE MINAS;COMÉRCIO RODRIGUES E FARIA LTDA; 86.539.590/0001-40;RUA PEQUI;700; ;SANTOS DUMONT;35660-308;DIESEL S10;01/05/2022;5,37;3000;6,75;R$ / litro;VIBRA ENERGIA;3
SE;MG;PATROCINIO;DANTAS E SOUZA COMERCIO E DERIVADOS DE PETROLEO LTDA; 04.560.518/0001-30;RUA PRESIDENTE VARGAS;132;;DONA DIVA;38740-000;GASOLINA;01/05/2022;6,87;3000;5,79;R$ / litro;BRANCA;3
SE;MG;PATROCINIO;DANTAS E SOUZA COMERCIO E DERIVADOS DE PETROLEO LTDA; 04.560.518/0001-30;RUA PRESIDENTE VARGAS;132;;DONA DIVA;38740-000;ETANOL;01/05/2022;5,19;3000;3,99;R$ / litro;BRANCA;3
SE;MG;PATROCINIO;DANTAS E SOUZA COMERCIO E DERIVADOS DE PETROLEO LTDA; 04.560.518/0001-30;RUA PRESIDENTE VARGAS;132;;DONA DIVA;38740-000;DIESEL;01/05/2022;5,25;3000;6,99;R$ / litro;BRANCA;3
SE;MG;PATROCINIO;DANTAS E SOUZA COMERCIO E DERIVADOS DE PETROLEO LTDA; 04.560.518/0001-30;RUA PRESIDENTE VARGAS;132;;DONA DIVA;38740-000;GASOLINA ADITIVADA;01/05/2022;6,87;3000;5,67;R$ / litro;BRANCA;3
SE;MG;PATROCINIO;DANTAS E SOUZA COMERCIO E DERIVADOS DE PETROLEO LTDA; 04.560.518/0001-30;RUA PRESIDENTE VARGAS;132;;DONA DIVA;38740-000;DIESEL S10;01/05/2022;5,35;3000;5,69;R$ / litro;BRANCA;3
CO;MS;DOURADOS;MONTE ALEGRE DERIVADOS DE PETROLEO LTDA; 04.541.738/0001-17;RUA MONTE ALEGRE;4310;;JARDIM OURO VERDE;79830-070;GASOLINA;01/05/2022;6,49;3000;7,29;R$ / litro;RAIZEN;3
CO;MS;DOURADOS;MONTE ALEGRE DERIVADOS DE PETROLEO LTDA; 04.541.738/0001-17;RUA MONTE ALEGRE;4310;;JARDIM OURO VERDE;79830-070;ETANOL;01/05/2022;5,45;3000;5,77;R$ / litro;RAIZEN;3
CO;MS;DOURADOS;MONTE ALEGRE DERIVADOS DE PETROLEO LTDA; 04.541.738/0001-17;RUA MONTE ALEGRE;4310;;JARDIM OURO VERDE;79830-070;DIESEL;01/05/2022;5,32;3000;6,51;R$ / litro;RAIZEN;9
CO;MS;DOURADOS;MONTE ALEGRE DERIVADOS DE PETROLEO LTDA; 04.541.738/0001-17;RUA MONTE ALEGRE;4310;;JARDIM OURO VERDE;79830-070;GASOLINA ADITIVADA;01/05/2022;6,69;3000;5,25;R$ / litro;RAIZEN;9
CO;MS;DOURADOS;MONTE ALEGRE DERIVADOS DE PETROLEO LTDA; 04.541.738/0001-17;RUA MONTE ALEGRE;4310;;JARDIM OURO VERDE;79830-070;DIESEL S10;01/05/2022;5,42;3000;6,51;R$ / litro;RAIZEN;9
CO;MT;CACERES;MONTE GERIZIM - COMERCIO DE COMBUSTIVEIS LTDA; 08.688.481/0001-81;RUA GENERAL OSORIO;1483;;CENTRO;78200-000;GASOLINA;01/05/2022;6,26;3000;6,98;R$ / litro;BRANCA;9
CO;MT;CACERES;MONTE GERIZIM - COMERCIO DE COMBUSTIVEIS LTDA; 08.688.481/0001-81;RUA GENERAL OSORIO;1483;;CENTRO;78200-000;ETANOL;01/05/2022;4,76;3000;6,08;R$ / litro;BRANCA;9
CO;MT;CACERES;MONTE GERIZIM - COMERCIO DE COMBUSTIVEIS LTDA; 08.688.481/0001-81;RUA GENERAL OSORIO;1483;;CENTRO;78200-000;DIESEL S10;01/05/2022;5,58;3000;7,08;R$ / litro;BRANCA;9
CO;MT;CACERES;COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA; 03.927.792/0001-32;AVENIDA SAO LUIZ;100;;JD SAO LUIZ;78200-000;GASOLINA;01/05/2022;6,29;3000;6,13;R$ / litro;RAIZEN;9
CO;MT;CACERES;COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA; 03.927.792/0001-32;AVENIDA SAO LUIZ;100;;JD SAO LUIZ;78200-000;ETANOL;01/05/2022;4,76;3000;6,87;R$ / litro;RAIZEN;9
CO;MT;CACERES;COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA; 03.927.792/0001-32;AVENIDA SAO LUIZ;100;;JD SAO LUIZ;78200-000;DIESEL;01/05/2022;5,47;3000;5,99;R$ / litro;RAIZEN;9
CO;MT;CACERES;COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA; 03.927.792/0001-32;AVENIDA SAO LUIZ;100;;JD SAO LUIZ;78200-000;GASOLINA ADITIVADA;01/05/2022;6,39;3000;6,87;R$ / litro;RAIZEN;9
CO;MT;CACERES;COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA; 03.927.792/0001-32;AVENIDA SAO LUIZ;100;;JD SAO LUIZ;78200-000;DIESEL S10;01/05/2022;5,59;3000;5,99;R$ / litro;RAIZEN;9
CO;MT;CACERES;PETROLUZ CACERES AUTO POSTO LTDA; 03.578.055/0001-71;AVENIDA SAO LUIZ;1000A;;CACERES;78200-000;GASOLINA;01/05/2022;6,26;3000;6,97;R$ / litro;BRANCA;9
CO;MT;CACERES;PETROLUZ CACERES AUTO POSTO LTDA; 03.578.055/0001-71;AVENIDA SAO LUIZ;1000A;;CACERES;78200-000;ETANOL;01/05/2022;4,71;3000;6,1;R$ / litro;BRANCA;9
CO;MT;CACERES;PETROLUZ CACERES AUTO POSTO LTDA; 03.578.055/0001-71;AVENIDA SAO LUIZ;1000A;;CACERES;78200-000;DIESEL;01/05/2022;5,45;3000;6,07;R$ / litro;BRANCA;9
CO;MT;CACERES;PETROLUZ CACERES AUTO POSTO LTDA; 03.578.055/0001-71;AVENIDA SAO LUIZ;1000A;;CACERES;78200-000;DIESEL S10;01/05/2022;5,58;3000;4,95;R$ / litro;BRANCA;9
CO;MT;CUIABA;COMERCIAL AMAZONIA DE PETROLEO LTDA; 09.001.879/0004-03;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1783;;ALVORADA;78050-000;GASOLINA;01/05/2022;6,37;3000;5,99;R$ / litro;BRANCA;9
CO;MT;CUIABA;COMERCIAL AMAZONIA DE PETROLEO LTDA; 09.001.879/0004-03;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1783;;ALVORADA;78050-000;ETANOL;01/05/2022;4,43;3000;6,09;R$ / litro;BRANCA;9
CO;MT;CUIABA;COMERCIAL AMAZONIA DE PETROLEO LTDA; 09.001.879/0004-03;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1783;;ALVORADA;78050-000;GASOLINA ADITIVADA;01/05/2022;6,37;3000;7,05;R$ / litro;BRANCA;9
CO;MT;CUIABA;COMERCIAL AMAZONIA DE PETROLEO LTDA; 09.001.879/0004-03;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1783;;ALVORADA;78050-000;DIESEL S10;01/05/2022;5,77;3000;6,12;R$ / litro;BRANCA;9
CO;MT;CUIABA;COMERCIAL AMAZONIA DE PETROLEO LTDA; 09.001.879/0003-22;AVENIDA HISTORIADOR RUBENS DE MENDONCA;3075;;ALVORADA;78050-907;GASOLINA;01/05/2022;6,59;3000;6,99;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;COMERCIAL AMAZONIA DE PETROLEO LTDA; 09.001.879/0003-22;AVENIDA HISTORIADOR RUBENS DE MENDONCA;3075;;ALVORADA;78050-907;ETANOL;01/05/2022;4,69;3000;6,12;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA; 02.823.845/0001-02;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1784;;BOSQUE DA SAUDE;78050-000;GASOLINA;01/05/2022;6,47;3000;6,09;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA; 02.823.845/0001-02;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1784;;BOSQUE DA SAUDE;78050-000;ETANOL;01/05/2022;4,49;3000;7,05;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA; 02.823.845/0001-02;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1784;;BOSQUE DA SAUDE;78050-000;GASOLINA ADITIVADA;01/05/2022;6,55;3000;6,12;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA; 02.823.845/0001-02;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1784;;BOSQUE DA SAUDE;78050-000;DIESEL S10;01/05/2022;5,69;3000;6,98;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;EL ELION COMERCIO DE COMBUSTIVEIS LTDA; 05.696.453/0001-18;AVENIDA RUBENS DE MENDONCA;2,555;;BOSQUE DA SAUDE;78050-000;GASOLINA;01/05/2022;6,69;3000;6,08;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;EL ELION COMERCIO DE COMBUSTIVEIS LTDA; 05.696.453/0001-18;AVENIDA RUBENS DE MENDONCA;2,555;;BOSQUE DA SAUDE;78050-000;ETANOL;01/05/2022;4,49;3000;7,08;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;EL ELION COMERCIO DE COMBUSTIVEIS LTDA; 05.696.453/0001-18;AVENIDA RUBENS DE MENDONCA;2,555;;BOSQUE DA SAUDE;78050-000;GASOLINA ADITIVADA;01/05/2022;6,79;3000;6,13;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;EL ELION COMERCIO DE COMBUSTIVEIS LTDA; 05.696.453/0001-18;AVENIDA RUBENS DE MENDONCA;2,555;;BOSQUE DA SAUDE;78050-000;DIESEL S10;01/05/2022;5,89;3000;6,87;R$ / litro;VIBRA ENERGIA;9
CO;MT;CUIABA;COMERCIAL DE COMBUSTIVEIS PARAISO EIRELI; 05.391.756/0001-22;AVENIDA JOSE TORQUATO;2,896;HIST. RUBENS MENDONCA;NOVO PARAISO;78055-714;GASOLINA;01/05/2022;6,45;3000;5,99;R$ / litro;BRANCA;9
CO;MT;CUIABA;COMERCIAL DE COMBUSTIVEIS PARAISO EIRELI; 05.391.756/0001-22;AVENIDA JOSE TORQUATO;2,896;HIST. RUBENS MENDONCA;NOVO PARAISO;78055-714;ETANOL;01/05/2022;4,47;3000;6,87;R$ / litro;BRANCA;9
CO;MT;CUIABA;COMERCIAL DE COMBUSTIVEIS PARAISO EIRELI; 05.391.756/0001-22;AVENIDA JOSE TORQUATO;2,896;HIST. RUBENS MENDONCA;NOVO PARAISO;78055-714;DIESEL;01/05/2022;5,57;3000;5,99;R$ / litro;BRANCA;9
